Date,Open,High,Low,Close,Volume
07/18/2023,290.15,295.26,286.01,293.34,112434703
07/17/2023,286.63,292.23,283.57,290.38,131569594
07/14/2023,283.01,285.30,276.31,281.38,120062398
07/13/2023,,279.45,270.60,277.90,112681508
07/12/2023,276.33,276.52,271.46,271.99,95672141
07/11/2023,268.65,270.90,266.37,269.79,91972359
07/10/2023,276.47,277.52,265.10,269.61,119425398
07/07/2023,278.43,280.78,273.77,274.43,113879203
07/06/2023,278.09,279.97,272.88,276.54,120707398
07/05/2023,278.82,283.85,277.60,282.48,131530891
07/03/2023,276.49,284.25,275.11,279.82,118999000
06/30/2023,260.60,264.45,259.89,261.77,112620797
06/29/2023,258.03,260.74,253.61,257.50,131283406
06/28/2023,249.70,259.88,248.89,256.24,159770797
06/27/2023,243.24,250.39,240.85,250.21,164968188
06/26/2023,250.07,258.37,240.70,241.05,179990594
06/23/2023,259.29,262.45,252.80,256.60,177460797
06/22/2023,250.77,265.00,248.25,264.61,166875906
06/21/2023,275.13,276.99,257.78,259.46,211797109
06/20/2023,261.50,274.75,261.12,274.45,165611203
